month,avg_price,avg_freight,sales_count,avg_shipping_days,avg_lead_time_days,unavailable_count,canceled_count,category_eng,unavailable_rate,canceled_rate
2017-06,169.78833333333333,16.47277777777778,18,2.6712683823529413,10.965757761437908,0,0,home_confort,0.0,0.0
2017-07,106.13604651162791,19.47860465116279,43,2.3789674849267874,10.783893195521102,0,0,home_confort,0.0,0.0
2017-08,142.86392857142857,19.14035714285714,28,2.6948958333333333,10.062072172619049,0,0,home_confort,0.0,0.0
2017-09,139.16181818181818,20.636969696969697,33,2.9610109230324073,13.162757084736251,0,0,home_confort,0.0,0.0
2017-10,134.06666666666666,16.772222222222222,27,2.6878322187928667,9.642372256515776,0,0,home_confort,0.0,0.0
2017-11,119.00866666666667,19.772,45,3.4376990740740743,20.831301697530865,0,0,home_confort,0.0,0.0
2017-12,161.27142857142857,20.506428571428568,14,3.852736441798942,15.212445436507936,0,0,home_confort,0.0,0.0
2018-01,167.78666666666666,23.080555555555556,18,2.3853613683127572,14.12211741255144,0,0,home_confort,0.0,0.0
2018-02,143.46476190476193,18.33857142857143,21,1.3064908509700177,14.672197971781305,0,0,home_confort,0.0,0.0
2018-03,120.11333333333334,25.63047619047619,21,2.1746230158730158,22.70928406084656,0,0,home_confort,0.0,0.0
2018-04,107.74444444444445,18.603333333333335,18,1.7695916923868313,11.372252443415638,0,0,home_confort,0.0,0.0
2018-05,126.2090909090909,18.535,22,1.359407617845118,11.43763888888889,0,0,home_confort,0.0,0.0
2018-06,149.15562500000001,19.715625,16,1.5580309606481482,8.050772569444444,0,0,home_confort,0.0,0.0
2018-07,124.34916666666668,23.995,24,1.3380761876006442,9.55494263285024,0,0,home_confort,0.0,0.0
2018-08,140.08,20.6625,16,1.2846527777777779,7.947309751157407,0,0,home_confort,0.0,0.0
2017-02,173.9,17.2425,4,3.2180758101851854,14.034021990740742,0,0,home_construction,0.0,0.0
2017-03,59.196000000000005,12.672999999999998,10,5.057849537037037,13.211726851851854,0,0,home_construction,0.0,0.0
2017-04,320.538,18.85,5,1.2352453703703703,13.42817824074074,0,0,home_construction,0.0,0.0
2017-05,231.5,15.87142857142857,7,0.3413078703703704,7.968356481481481,0,0,home_construction,0.0,0.0
2017-06,249.0375,18.61,8,1.1228226273148147,13.65451244212963,0,0,home_construction,0.0,0.0
2017-07,46.8,15.1,2,1.3211921296296296,11.437696759259259,0,0,home_construction,0.0,0.0
2017-08,124.8,16.63,1,0.928125,11.957118055555556,0,0,home_construction,0.0,0.0
2017-09,123.43727272727273,36.50454545454546,11,2.676316287878788,9.307634680134681,0,0,home_construction,0.0,0.0
2017-10,233.39833333333334,30.61333333333333,18,3.4755555555555557,12.635842978395061,0,0,home_construction,0.0,0.0
2017-11,129.91368421052633,20.784736842105264,38,3.071018213937622,13.310221430311891,0,0,home_construction,0.0,0.0
2017-12,172.70000000000002,32.58897435897436,39,4.335908260233919,14.689465460526316,0,0,home_construction,0.0,0.0
2018-01,138.75190476190477,22.153809523809525,42,5.254073247354497,17.273316120607788,0,0,home_construction,0.0,0.0
2018-02,135.99743589743588,19.28923076923077,39,2.1501516500474835,15.351370918615984,0,1,home_construction,0.0,2.564102564102564
2018-03,128.17068181818183,25.62227272727273,44,2.6989184969853572,14.277593669250646,0,0,home_construction,0.0,0.0
2018-04,122.61184210526316,19.134736842105262,76,2.64125,9.861685339506172,0,0,home_construction,0.0,0.0
2018-05,128.54784810126583,16.46518987341772,79,4.240021536568214,12.122847954758555,0,0,home_construction,0.0,0.0
2018-06,128.09281690140844,25.945633802816904,71,5.939704127543036,12.927041438445489,0,0,home_construction,0.0,0.0
2018-07,111.14999999999999,24.885573770491803,61,5.787726811241066,12.986502121913581,0,0,home_construction,0.0,0.0
2018-08,143.1869387755102,26.465918367346937,49,6.380673707561729,11.82938777970679,0,0,home_construction,0.0,0.0
2017-01,100.985,15.792142857142858,28,4.832398726851851,12.542429728835979,0,0,housewares,0.0,0.0
2017-02,156.29222222222222,19.108888888888888,81,3.1610801917989417,11.726261063453158,0,2,housewares,0.0,2.4691358024691357
2017-03,66.23436274509804,17.98549019607843,204,2.9368570601851847,13.132313574735448,0,2,housewares,0.0,0.9803921568627451
2017-04,82.1248087431694,18.182622950819674,183,3.399377549052028,14.395737727372342,0,6,housewares,0.0,3.278688524590164
2017-05,70.77029315960912,17.32612377850163,307,2.4908936022782653,10.103406073706157,0,3,housewares,0.0,0.9771986970684038
2017-06,71.3707250755287,18.834501510574018,331,2.8109088656699512,11.440903210453444,0,2,housewares,0.0,0.6042296072507553
2017-07,75.63152173913043,17.1081884057971,276,3.290227666323731,10.369791623957905,0,1,housewares,0.0,0.36231884057971014
2017-08,82.40951388888888,18.44736111111111,288,2.6848787595219332,9.648349247685184,0,5,housewares,0.0,1.7361111111111112
2017-09,79.6598431372549,18.855803921568626,255,2.7243925225025825,10.267773361966384,0,0,housewares,0.0,0.0
2017-10,68.07076595744681,18.155744680851065,235,2.840780222863556,10.189560690603267,0,0,housewares,0.0,0.0
2017-11,82.40028368794326,20.201158392434987,423,3.3922786702365015,12.718749438151745,0,2,housewares,0.0,0.4728132387706856
2017-12,87.87101694915255,20.374101694915254,295,3.69480689989818,13.615847238297325,0,0,housewares,0.0,0.0
2018-01,106.06771587743732,21.973314763231198,359,3.9552078663678087,13.934791930463227,0,4,housewares,0.0,1.1142061281337048
2018-02,88.6214,21.69705,400,3.3517017698077827,15.88423921923842,0,5,housewares,0.0,1.25
2018-03,92.17307125307126,22.43842751842752,407,2.3458925535336825,14.249778964862298,0,2,housewares,0.0,0.4914004914004914
2018-04,96.40331210191083,21.991464968152865,471,2.601952711640212,10.781933170995671,0,0,housewares,0.0,0.0
2018-05,101.78282714054927,21.728610662358644,619,1.8985885123052675,9.969330033411243,0,0,housewares,0.0,0.0
2018-06,97.30385273972603,23.264349315068493,584,2.1930992481937124,8.297773665671738,0,5,housewares,0.0,0.8561643835616438
2018-07,109.89452339688042,25.231525129982668,577,2.3062639891367747,8.078964777055425,0,6,housewares,0.0,1.0398613518197575
