category_eng,month,total_sales,market_avg_price,seller_count,market_avg_sales
cine_photo,2017-11,1,242.0,1,1.0
cine_photo,2018-01,2,99.99,1,2.0
cine_photo,2018-02,2,113.995,2,1.0
cine_photo,2018-03,7,101.6842857142857,2,3.5
cine_photo,2018-04,5,104.348,3,1.6666666666666667
cine_photo,2018-05,18,126.51611111111112,7,2.5714285714285716
cine_photo,2018-06,13,33.526923076923076,7,1.8571428571428572
cine_photo,2018-07,8,149.305,6,1.3333333333333333
cine_photo,2018-08,10,68.52799999999999,4,2.5
computers,2017-01,1,2199.99,1,1.0
computers,2017-02,1,3549.0,1,1.0
computers,2017-08,29,1162.0689655172414,1,29.0
computers,2017-09,41,1289.728780487805,1,41.0
computers,2017-10,27,1496.0711111111111,2,13.5
computers,2017-11,7,1395.4285714285713,1,7.0
computers,2017-12,23,727.8695652173913,1,23.0
computers,2018-01,12,620.8333333333334,1,12.0
computers,2018-04,15,918.328,3,5.0
computers,2018-05,14,673.5657142857143,1,14.0
computers,2018-06,13,1009.7692307692307,2,6.5
computers,2018-07,8,1404.875,3,2.6666666666666665
computers,2018-08,12,725.9583333333334,4,3.0
computers_accessories,2016-10,21,66.63428571428571,9,2.3333333333333335
computers_accessories,2017-01,31,126.58516129032259,12,2.5833333333333335
computers_accessories,2017-02,106,112.94896226415095,33,3.212121212121212
computers_accessories,2017-03,174,164.50919540229884,39,4.461538461538462
computers_accessories,2017-04,136,152.14014705882354,38,3.5789473684210527
computers_accessories,2017-05,322,142.95894409937887,53,6.0754716981132075
computers_accessories,2017-06,262,141.4316030534351,50,5.24
computers_accessories,2017-07,326,118.73926380368098,60,5.433333333333334
computers_accessories,2017-08,355,100.61554929577464,64,5.546875
computers_accessories,2017-09,253,114.35169960474308,64,3.953125
computers_accessories,2017-10,323,136.53557275541795,68,4.75
computers_accessories,2017-11,539,137.4335064935065,83,6.493975903614458
computers_accessories,2017-12,289,132.46529411764706,74,3.9054054054054053
computers_accessories,2018-01,725,117.33593103448277,82,8.841463414634147
computers_accessories,2018-02,1008,102.57478174603175,82,12.292682926829269
computers_accessories,2018-03,762,112.81931758530185,87,8.758620689655173
computers_accessories,2018-04,544,109.65294117647058,82,6.634146341463414
computers_accessories,2018-05,464,111.0252801724138,78,5.948717948717949
computers_accessories,2018-06,408,103.74129901960784,77,5.298701298701299
computers_accessories,2018-07,427,98.13299765807963,80,5.3375
computers_accessories,2018-08,419,96.16689737470168,81,5.172839506172839
