seller_id,month,nominal_gmv,realized_cash
0176f73cc1195f367f7b32db1e5b3aa8,2018-05,1035.7858333333334,885.4964825126533
0176f73cc1195f367f7b32db1e5b3aa8,2018-06,686.21,623.8189825126533
0176f73cc1195f367f7b32db1e5b3aa8,2018-07,1009.04,1014.9198158459866
0176f73cc1195f367f7b32db1e5b3aa8,2018-08,325.19,683.7219825126532
01bcc9d254a0143f0ce9791b960b2a47,2017-08,135.05,135.05
01bcc9d254a0143f0ce9791b960b2a47,2017-09,799.44,113.16000000000001
01bcc9d254a0143f0ce9791b960b2a47,2017-10,524.88,584.6733333333334
01bcc9d254a0143f0ce9791b960b2a47,2017-11,0.0,385.1116666666667
01bcc9d254a0143f0ce9791b960b2a47,2017-12,0.0,189.98166666666668
01bcc9d254a0143f0ce9791b960b2a47,2018-01,156.0,51.39333333333334
01bcc9d254a0143f0ce9791b960b2a47,2018-02,183.5,39.0
01bcc9d254a0143f0ce9791b960b2a47,2018-03,0.0,84.875
01bcc9d254a0143f0ce9791b960b2a47,2018-04,0.0,84.875
01bcc9d254a0143f0ce9791b960b2a47,2018-05,0.0,84.875
01bcc9d254a0143f0ce9791b960b2a47,2018-06,0.0,45.875
01c97ebb5cdac52891c0ed1c37ba0012,2017-04,92.82,41.14
01c97ebb5cdac52891c0ed1c37ba0012,2017-05,0.0,12.92
01c97ebb5cdac52891c0ed1c37ba0012,2017-06,0.0,12.92
01c97ebb5cdac52891c0ed1c37ba0012,2017-07,45.51,12.92
01c97ebb5cdac52891c0ed1c37ba0012,2017-08,42.09,100.52
01c97ebb5cdac52891c0ed1c37ba0012,2017-11,84.18,0.0
01c97ebb5cdac52891c0ed1c37ba0012,2017-12,0.0,84.18
01c97ebb5cdac52891c0ed1c37ba0012,2018-03,402.4,91.02
01c97ebb5cdac52891c0ed1c37ba0012,2018-04,0.0,278.90000000000003
01c97ebb5cdac52891c0ed1c37ba0012,2018-05,0.0,16.24
01c97ebb5cdac52891c0ed1c37ba0012,2018-06,0.0,16.24
01c97ebb5cdac52891c0ed1c37ba0012,2018-07,89.0,0.0
01c97ebb5cdac52891c0ed1c37ba0012,2018-08,0.0,22.25
01cf7e3d21494c41fb86034f2e714fa1,2017-01,648.48,0.0
01cf7e3d21494c41fb86034f2e714fa1,2017-02,725.83,737.98
01cf7e3d21494c41fb86034f2e714fa1,2017-03,1505.9,586.1658333333334
01cf7e3d21494c41fb86034f2e714fa1,2017-04,2243.25,1142.2266666666667
01cf7e3d21494c41fb86034f2e714fa1,2017-05,1425.5,802.555119047619
01cf7e3d21494c41fb86034f2e714fa1,2017-06,109.77,860.7007857142858
01cf7e3d21494c41fb86034f2e714fa1,2017-07,1423.3600000000001,973.0124523809524
01cf7e3d21494c41fb86034f2e714fa1,2017-08,2224.2,1475.3962857142858
01cf7e3d21494c41fb86034f2e714fa1,2017-09,0.0,1118.910119047619
01cf7e3d21494c41fb86034f2e714fa1,2017-10,0.0,759.4631190476191
01cf7e3d21494c41fb86034f2e714fa1,2017-11,0.0,673.260619047619
01cf7e3d21494c41fb86034f2e714fa1,2017-12,0.0,371.903
01cf7e3d21494c41fb86034f2e714fa1,2018-01,0.0,228.641
01cf7e3d21494c41fb86034f2e714fa1,2018-02,1342.73,768.391
01cf7e3d21494c41fb86034f2e714fa1,2018-03,0.0,518.2113333333333
01cf7e3d21494c41fb86034f2e714fa1,2018-04,0.0,219.71433333333334
01cf7e3d21494c41fb86034f2e714fa1,2018-05,0.0,205.06433333333334
01cf7e3d21494c41fb86034f2e714fa1,2018-06,0.0,29.631999999999998
01cf7e3d21494c41fb86034f2e714fa1,2018-07,0.0,29.631999999999998
01cf7e3d21494c41fb86034f2e714fa1,2018-08,0.0,29.631999999999998
01ed254b9ff8407dfb9d99ba1e17d923,2017-08,705.69,0.0
01ed254b9ff8407dfb9d99ba1e17d923,2017-09,352.94,153.66366666666667
01ed254b9ff8407dfb9d99ba1e17d923,2017-10,359.64,330.13366666666667
01ed254b9ff8407dfb9d99ba1e17d923,2017-11,115.44,375.08866666666665
01ed254b9ff8407dfb9d99ba1e17d923,2017-12,0.0,195.352
01ed254b9ff8407dfb9d99ba1e17d923,2018-01,0.0,114.869
01ed254b9ff8407dfb9d99ba1e17d923,2018-02,0.0,44.955
01ed254b9ff8407dfb9d99ba1e17d923,2018-03,0.0,79.912
01ed254b9ff8407dfb9d99ba1e17d923,2018-04,0.0,79.912
01ed254b9ff8407dfb9d99ba1e17d923,2018-05,0.0,114.869
01ed254b9ff8407dfb9d99ba1e17d923,2018-06,0.0,44.955
01fd077212124329bac32490e8ef80d9,2018-04,244.64688622754488,48.62
01fd077212124329bac32490e8ef80d9,2018-05,382.90999999999997,335.1768862275449
01fd077212124329bac32490e8ef80d9,2018-06,118.37,230.865
01fd077212124329bac32490e8ef80d9,2018-07,369.30923076923074,220.14923076923077
01fd077212124329bac32490e8ef80d9,2018-08,651.79,438.655
01fdefa7697d26ad920e9e0346d4bd1b,2017-04,80.56,0.0
01fdefa7697d26ad920e9e0346d4bd1b,2017-05,414.85,93.29
01fdefa7697d26ad920e9e0346d4bd1b,2017-06,454.0535656836461,230.02571428571432
01fdefa7697d26ad920e9e0346d4bd1b,2017-07,1595.97,786.202208923784
01fdefa7697d26ad920e9e0346d4bd1b,2017-08,1238.8,481.51566817736926
01fdefa7697d26ad920e9e0346d4bd1b,2017-09,948.34,674.5131205583216
01fdefa7697d26ad920e9e0346d4bd1b,2017-10,925.3,660.1306800821311
01fdefa7697d26ad920e9e0346d4bd1b,2017-11,1501.08,1115.3190134154645
01fdefa7697d26ad920e9e0346d4bd1b,2017-12,2318.55,1589.2197634154645
01fdefa7697d26ad920e9e0346d4bd1b,2018-01,1941.04,1774.6218015873017
01fdefa7697d26ad920e9e0346d4bd1b,2018-02,894.4,1768.6040515873017
