seller_state,customer_state,avg_lead_time,p95_lead_time,count
PE,SP,11.923124007936506,21.35306712962963,105
PR,AL,29.876183862433862,52.28138888888889,42
PR,AM,25.895649691358024,31.00941550925926,15
PR,BA,20.195605685763887,36.93836979166662,160
PR,CE,21.271349206349207,45.116895833333324,70
PR,DF,13.627932054924242,25.081362847222223,176
PR,ES,16.077449577294686,30.789688657407403,115
PR,GO,15.830602502080731,28.77938425925926,89
PR,MA,21.717266203703705,35.778664351851845,45
PR,MG,13.765253206484505,26.29943634259259,919
PR,MS,12.713583403479237,21.662175925925926,66
PR,MT,16.93424428104575,28.69591087962963,68
PR,PA,25.436824113984674,46.82078993055554,58
PR,PB,22.23434027777778,48.41871527777778,46
PR,PE,19.481532974300833,39.33651215277777,98
PR,PI,17.74117322530864,26.248344907407404,30
PR,PR,8.200074821716125,16.82784722222222,805
PR,RJ,16.30674614407206,38.76131249999998,1104
PR,RN,24.742343171296294,44.6617181712963,20
PR,RO,17.70610468106996,22.96704571759259,18
PR,RS,13.352107850094619,25.609935185185165,685
PR,SC,13.618714122994877,28.85675925925926,441
PR,SE,23.051618265993266,39.217265625,22
PR,SP,11.021830862346604,22.095528935185182,3335
PR,TO,21.752947303921566,42.02564814814814,17
RJ,AL,24.06508636039886,39.13873379629628,13
RJ,BA,16.14953342526924,33.57663194444444,141
RJ,CE,23.923516203703706,54.993872685185174,55
RJ,DF,13.685601196715583,26.171099537037037,106
RJ,ES,12.349017767767767,23.225335648148146,111
RJ,GO,15.104370925925927,27.61804629629629,125
RJ,MA,20.61536072530864,30.771448495370368,30
RJ,MG,12.103174478693095,25.834913194444447,611
RJ,MS,16.329923288113694,27.55115856481481,43
RJ,MT,21.023007765830346,36.686840277777776,31
RJ,PA,21.28389571462488,37.83793865740742,39
RJ,PB,14.775113329475309,24.595180555555544,24
RJ,PE,16.924736882716047,31.068800925925924,105
RJ,PI,16.254723936899865,31.785368055555548,27
RJ,PR,12.71455452340869,28.671359953703703,231
RJ,RJ,6.343972123719465,14.280393518518519,1081
RJ,RN,15.086945546737214,31.642291666666665,21
RJ,RO,27.778652955840457,45.30219212962963,13
RJ,RS,15.939488996702183,32.25522106481481,219
RJ,SC,14.69134004980359,32.05826388888889,132
RJ,SE,17.861960282651072,27.5955474537037,19
RJ,SP,11.534986358845213,25.653781250000005,1467
RJ,TO,15.296963252314814,22.48328125,16
RN,RN,4.740925925925926,6.935135416666666,24
RS,AL,19.947542824074073,29.350454282407405,10
RS,BA,20.50763109410431,33.130439814814814,49
RS,CE,17.456719576719575,34.676478009259256,14
RS,DF,12.34029920212766,26.129238425925926,47
RS,ES,11.927980922733077,17.93852546296296,29
RS,GO,15.897627314814814,25.268917824074073,26
RS,MA,26.150042438271605,50.792811342592586,15
RS,MG,11.548631379074928,20.195108796296296,217
RS,MS,13.789593545751634,26.72733333333333,17
RS,MT,15.500436094576719,25.276226851851845,28
RS,PA,23.24811443236715,38.79821412037037,23
RS,PE,21.72090406378601,43.1547216435185,18
RS,PI,16.163818554131055,26.098678240740735,13
RS,PR,10.295797281656657,18.629232638888894,148
RS,RJ,14.023668363019508,31.035744212962957,262
RS,RO,15.172390572390572,26.780422453703704,11
RS,RS,7.713970267970463,19.155185185185186,321
RS,SC,9.469932888314672,16.927291666666665,129
RS,SP,9.963277459026541,19.09296817129629,748
SC,AL,22.61160984848485,30.320329861111112,11
SC,BA,18.634374109686608,34.516654513888874,78
SC,CE,23.568776041666666,37.61271006944446,20
SC,DF,12.857839401901902,21.39051909722222,74
SC,ES,14.574324202674896,24.89724247685185,54
SC,GO,15.476776851851852,25.139809027777776,75
SC,MA,23.07729797979798,40.997542824074074,22
SC,MG,14.374633016569202,26.19660763888888,475
SC,MS,14.970023148148147,26.253836805555554,31
SC,MT,21.699300595238096,44.18699131944444,28
SC,PA,23.559663800705465,49.182939814814816,21
SC,PB,24.39733065302144,39.242343749999996,19
SC,PE,19.36307009734093,35.97641550925926,39
SC,PI,22.077896564327485,36.19525347222219,19
SC,PR,10.834305949719068,20.31437615740739,323
SC,RJ,15.365038985192253,32.14300925925926,524
SC,RN,19.34338376322751,38.8335636574074,14
SC,RS,12.817785613641593,24.09329687499999,322
SC,SC,8.417181246892866,18.214479166666667,298
SC,SE,22.849451933551197,34.00069212962963,17
SC,SP,11.909400790310512,23.946567129629628,1485
SC,TO,19.887057291666668,28.766377314814815,12
SP,AC,19.684063924501423,34.14732870370369,65
SP,AL,24.476658454180285,45.69350636574074,272
SP,AM,26.158739275399252,41.67362037037037,109
SP,AP,23.92336393596987,36.127023148148126,59
SP,BA,19.27158203735681,36.34954282407408,2606
SP,CE,20.117351302756244,39.85270023148148,1075
SP,DF,13.178834494438528,26.743743055555534,1565
SP,ES,15.458451050834249,30.30021412037037,1616
SP,GO,15.464833614808095,29.28510879629629,1653
SP,MA,21.899881753312947,39.258442129629614,545
SP,MG,12.267355042323409,24.625037037037,8565
SP,MS,15.953471534034035,31.079694444444442,555
SP,MT,17.445781234730774,30.766805555555546,758
SP,PA,22.73321567888987,45.55695023148148,756
SP,PB,20.240943015769677,38.97187152777777,384
SP,PE,18.21903839748196,38.636692129629644,1237
SP,PI,19.115525650475895,38.77923611111111,358
SP,PR,12.666541825356441,25.301111111111112,3603
SP,RJ,15.627511869350055,37.753856481481485,9329
SP,RN,19.86234839234839,40.56571932870365,364
SP,RO,20.010561075498575,38.85696180555555,195
SP,RR,23.788996119281048,44.693392939814785,34
SP,RS,15.76160459469115,33.505763888888886,4121
SP,SC,15.767696049245846,32.660121527777775,2706
SP,SE,20.37632791568164,43.44424652777777,235
SP,SP,7.833609527772544,18.148730324074066,35380
SP,TO,17.480821861684692,32.65004050925926,226
